Size,EntryBar,ExitBar,EntryPrice,ExitPrice,SL,TP,PnL,ReturnPct,EntryTime,ExitTime,Duration,Tag,"Entry_EMA(C,9)","Exit_EMA(C,9)","Entry_EMA(C,21)","Exit_EMA(C,21)","Entry_ATR(H,L,C,3)","Exit_ATR(H,L,C,3)"
1,22,81,119.81,171.0,98.00438681889986,,51.19,0.42725982806109664,2004-09-21,2004-12-14,84 days,,113.11595901822493,174.4960266641832,108.0663675718221,174.23736365663473,3.8174150908133506,5.869051391344059
2,23,81,117.4,171.0,96.48438681889986,,107.19999999999999,0.4565587734241907,2004-09-22,2004-12-14,83 days,,114.16876721457994,174.4960266641832,109.00397051983828,174.23736365663473,3.4982767272089,5.869051391344059
4,24,81,118.84,171.0,97.02438681889986,,208.64,0.43890945809491755,2004-09-23,2004-12-14,82 days,,115.49901377166395,174.4960266641832,110.07815501803479,174.23736365663473,4.202184484805933,5.869051391344059
-2,81,82,171.0,177.99,191.8056131811001,,-13.980000000000018,-0.04087719298245629,2004-12-14,2004-12-15,1 days,,174.4960266641832,175.55282133134656,174.23736365663473,174.74123968784974,5.869051391344059,5.2560342608960395
1,83,110,176.95,179.27,153.4998286955198,,2.3200000000000216,0.01311104831873422,2004-12-16,2005-01-26,41 days,,175.73625706507724,189.02755652125643,174.89839971622703,190.00138258809883,5.0173561739306995,8.688536146606618
2,84,110,176.76,179.27,150.1898286955198,,5.020000000000039,0.014200045259108451,2004-12-17,2005-01-26,40 days,,176.6050056520618,189.02755652125643,175.36945428747913,190.00138258809883,4.688237449287134,8.688536146606618
-1,111,114,188.76,194.38,232.6826807330331,,-5.6200000000000045,-0.029773257045984325,2005-01-27,2005-02-01,5 days,,188.83804521700515,190.7277991511066,189.82671144372623,190.53254052871995,7.139024097737752,6.701562695626002
-2,113,114,193.69,194.38,233.7826807330331,,-1.3799999999999955,-0.0035623935154112107,2005-01-31,2005-02-01,1 days,,190.43474893888327,190.7277991511066,190.39579458159193,190.53254052871995,7.037344043439002,6.701562695626002
1,115,124,215.55,193.6,158.39218652187,,-21.950000000000017,-0.1018325214567386,2005-02-02,2005-02-15,13 days,,193.7742393208853,193.8053796364975,191.93503684429086,193.6597135541888,12.76770846375067,8.531713495576913
2,122,124,186.66,193.6,154.47218652187,,13.879999999999995,0.03717989928211729,2005-02-11,2005-02-15,4 days,,193.56403068202732,193.8053796364975,193.55395340056847,193.6597135541888,8.018855365048053,8.531713495576913
